playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
acostjo01,1920,1,WS1,AL,17,25,2,6,1,0,0,1,0,0,4,7,,0,2,,
adamsba01,1920,1,PIT,NL,35,89,4,13,0,0,1,3,0,0,1,18,,0,2,,
ainsmed01,1920,1,DET,AL,69,186,19,43,5,3,1,19,4,3,14,19,,0,7,,
alexape01,1920,1,CHN,NL,46,118,9,27,4,1,1,14,0,0,11,26,,0,6,,
allenni01,1920,1,CIN,NL,43,85,10,23,3,1,0,4,0,0,6,11,,3,5,,
altener01,1920,1,DET,AL,14,3,0,0,0,0,0,0,0,0,0,0,,0,0,,
austiji01,1920,1,SLA,AL,83,280,38,76,11,3,1,32,2,4,31,15,,4,15,,
ayersdo01,1920,1,DET,AL,46,59,2,9,4,0,0,3,0,0,2,6,,0,2,,
bagbyji01,1920,1,CLE,AL,49,131,17,33,7,3,1,14,0,0,6,17,,0,7,,
bailege01,1920,1,BSN,NL,13,24,2,2,0,0,0,0,0,1,3,3,,0,2,,
bailege01,1920,2,BOS,AL,46,135,14,31,2,0,0,5,2,7,9,15,,1,5,,
bailesw01,1920,1,CHN,NL,21,7,0,1,0,0,0,0,0,0,0,4,,0,1,,
bairddo01,1920,1,BRO,NL,6,6,1,2,0,0,0,1,0,0,2,1,,1,1,,
bairddo01,1920,2,NY1,NL,7,8,0,1,0,0,0,0,0,0,1,3,,0,0,,
bancrda01,1920,1,PHI,NL,42,171,23,51,7,2,0,5,1,7,9,12,,1,4,,
bancrda01,1920,2,NY1,NL,108,442,79,132,29,7,0,31,7,5,33,32,,1,12,,
barbawa01,1920,1,PIT,NL,57,186,9,51,5,2,0,12,5,3,9,11,,0,4,,
barbetu01,1920,1,CHN,NL,94,340,27,90,10,5,0,50,5,6,9,26,,3,17,,
barneje01,1920,1,NY1,NL,45,108,10,22,1,0,0,4,1,1,1,12,,0,4,,
barnevi01,1920,1,NY1,NL,1,1,0,0,0,0,0,0,0,0,0,0,,0,1,,
barnhcl01,1920,1,PIT,NL,12,46,5,15,4,2,0,5,1,0,1,2,,0,0,,
baumgha01,1920,1,DET,AL,9,4,0,1,0,0,0,1,0,0,1,1,,0,0,,
baynebi01,1920,1,SLA,AL,18,35,2,6,2,0,0,1,0,1,0,11,,0,1,,
bentoru01,1920,1,NY1,NL,33,65,3,6,0,0,0,3,0,0,0,14,,0,4,,
bettshu01,1920,1,PHI,NL,27,25,2,2,0,0,0,0,0,0,2,8,,0,0,,
biemiha01,1920,1,WS1,AL,5,4,0,0,0,0,0,0,0,0,0,2,,0,1,,
bigbeca01,1920,1,PIT,NL,137,550,78,154,19,15,4,32,31,15,45,28,,6,6,,
bigbely01,1920,1,PHA,AL,38,75,5,14,2,0,1,8,1,0,9,12,,1,1,,
billijo01,1920,1,SLA,AL,66,155,19,43,5,2,0,11,1,0,11,10,,7,5,,
blakesh01,1920,1,PIT,NL,6,4,0,1,0,0,0,0,0,0,0,0,,0,0,,
bodiepi01,1920,1,NYA,AL,129,471,63,139,26,12,7,79,6,14,40,30,,0,12,,
boeckto01,1920,1,BSN,NL,153,582,70,156,28,5,3,62,18,15,38,50,,1,9,,
boehlge01,1920,1,SLA,AL,3,1,1,0,0,0,0,0,0,0,1,0,,0,0,,
boehljo01,1920,1,CLE,AL,3,4,0,2,0,0,0,0,0,0,0,0,,1,0,,
bogarjo01,1920,1,DET,AL,4,8,1,2,0,0,0,0,0,0,0,1,,0,0,,
bolanbe01,1920,1,DET,AL,4,7,0,1,1,0,0,0,0,0,0,1,,0,0,,
bonogu01,1920,1,WS1,AL,4,3,1,0,0,0,0,0,0,0,1,0,,0,0,,
bowmael01,1920,1,WS1,AL,2,1,1,0,0,0,0,0,0,0,1,0,,0,0,,
bradycl01,1920,1,BOS,AL,53,180,16,41,5,1,0,12,0,1,13,12,,1,6,,
brently01,1920,1,CIN,NL,5,8,1,2,0,0,0,0,0,0,0,3,,0,0,,
bressru01,1920,1,CIN,NL,21,30,4,8,1,0,0,3,1,0,1,4,,0,1,,
browefr01,1920,1,WS1,AL,36,119,21,37,7,2,1,13,1,1,9,11,,3,3,,
browned02,1920,1,NY1,NL,3,8,1,1,1,0,0,0,0,0,0,3,,0,0,,
burnsge01,1920,1,NY1,NL,154,631,115,181,35,9,6,46,22,22,76,48,,2,5,,
burnsge02,1920,1,PHA,AL,22,60,1,14,3,0,1,7,4,0,6,7,,1,1,,
burnsge02,1920,2,CLE,AL,44,56,7,15,4,1,0,13,1,0,4,3,,2,2,,
burrudi01,1920,1,PHA,AL,71,135,11,25,8,0,0,10,0,3,5,7,,2,1,,
burwebi01,1920,1,SLA,AL,35,42,4,7,2,0,0,1,0,0,1,8,,0,2,,
bushdo01,1920,1,DET,AL,141,506,85,133,18,5,1,33,15,7,73,32,,1,48,,
bushjo01,1920,1,BOS,AL,45,102,14,25,2,0,0,7,0,2,9,15,,0,3,,
cadorle01,1920,1,BRO,NL,35,91,4,20,2,1,2,11,1,0,3,22,,1,4,,
caldwra02,1920,1,CLE,AL,41,89,17,19,3,0,0,7,0,2,10,13,,1,5,,
calvoja01,1920,1,WS1,AL,17,23,5,1,0,1,0,2,0,0,2,2,,0,1,,
cantwmi01,1920,1,PHI,NL,5,7,0,1,0,0,0,1,0,0,0,3,,0,1,,
careyma01,1920,1,PIT,NL,130,485,74,140,18,4,1,35,52,10,59,31,,3,20,,
carlsha01,1920,1,PIT,NL,39,85,3,23,4,1,0,2,0,0,1,16,,0,2,,
carlsle01,1920,1,WS1,AL,3,6,0,1,0,0,0,0,0,0,0,3,,0,0,,
cartepa01,1920,1,CHN,NL,31,35,3,6,1,1,0,4,0,0,1,5,,0,1,,
catonho01,1920,1,PIT,NL,98,352,29,83,11,5,0,27,4,9,33,19,,2,7,,
causere01,1920,1,PHI,NL,44,59,2,11,0,0,0,2,0,0,2,18,,0,2,,
chapled01,1920,1,BOS,AL,4,5,2,1,1,0,0,1,0,0,4,1,,0,0,,
chapmra01,1920,1,CLE,AL,111,435,97,132,27,8,3,49,13,9,52,38,,2,41,,
cheevvi01,1920,1,CHN,NL,5,4,0,0,0,0,0,0,0,0,1,2,,0,0,,
chrisll01,1920,1,BSN,NL,65,106,17,22,2,2,0,14,0,1,13,12,,1,5,,
cicoted01,1920,1,CHA,AL,37,112,10,22,2,0,0,6,2,0,5,10,,0,4,,
clairda01,1920,1,DET,AL,3,7,1,1,0,0,0,0,0,0,0,0,,0,0,,
clarkbo03,1920,1,CLE,AL,11,10,0,2,0,0,0,0,0,0,0,0,,0,0,,
clarkni01,1920,1,PIT,NL,3,7,0,0,0,0,0,0,0,0,2,4,,0,0,,
clarksu01,1920,1,CHN,NL,1,3,0,1,0,0,0,0,0,0,0,1,,0,0,,
clemove01,1920,1,SLN,NL,112,338,17,95,10,6,1,36,1,1,30,12,,0,10,,
cobbty01,1920,1,DET,AL,112,428,86,143,28,8,2,63,15,10,58,28,,2,7,,
collied01,1920,1,CHA,AL,153,602,117,224,38,13,3,76,20,8,69,19,,2,33,,
collipa01,1920,1,SLA,AL,23,28,5,6,1,0,0,6,0,0,3,5,,0,0,,
colliri01,1920,1,NYA,AL,36,62,8,8,2,0,0,2,0,0,3,31,,0,8,,
collish01,1920,1,CHA,AL,133,495,70,150,21,10,1,63,12,9,23,24,,4,15,,
conkwal01,1920,1,DET,AL,5,5,1,1,0,0,0,0,0,0,3,1,,0,0,,
conneto01,1920,1,NYA,AL,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,,
conwaje01,1920,1,WS1,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coombja01,1920,1,DET,AL,2,2,0,0,0,0,0,0,0,0,0,0,,0,0,,
coopewi01,1920,1,PIT,NL,44,113,11,25,1,3,0,2,0,3,5,19,,0,2,,
coumbfr01,1920,1,CIN,NL,5,13,2,3,0,0,1,2,1,0,1,2,,0,0,,
courtha01,1920,1,WS1,AL,37,69,11,16,5,2,1,12,0,0,4,18,,0,3,,
covelst01,1920,1,CLE,AL,41,111,13,25,4,2,0,17,0,0,11,28,,0,9,,
coxre01,1920,1,DET,AL,3,1,0,0,0,0,0,0,0,0,0,1,,0,0,,
cranesa02,1920,1,CIN,NL,54,144,20,31,4,0,0,9,5,4,7,9,,2,2,,
cravaga01,1920,1,PHI,NL,46,45,2,13,5,0,1,11,0,0,9,12,,0,0,,
cruiswa01,1920,1,BSN,NL,91,288,40,80,7,5,1,21,5,3,31,26,,2,10,,
crumpro01,1920,1,DET,AL,4,9,1,3,1,1,0,0,0,0,0,0,,0,0,,
cutshge01,1920,1,PIT,NL,131,488,56,123,16,8,0,47,17,14,23,10,,1,37,,
dalyto02,1920,1,CHN,NL,44,90,12,28,6,0,0,13,1,1,2,6,,1,1,,
daubeja01,1920,1,CIN,NL,142,553,97,168,28,13,4,48,11,13,47,29,,3,27,,
daussho01,1920,1,DET,AL,38,83,7,14,2,2,0,5,0,0,14,27,,0,3,,
davencl01,1920,1,NY1,NL,1,1,0,0,0,0,0,0,0,0,0,1,,0,0,,
davisdi01,1920,1,SLA,AL,38,94,8,25,4,0,0,10,0,1,7,11,,0,7,,
dealch01,1920,1,CHN,NL,129,450,48,108,10,5,3,39,5,8,20,14,,8,34,,
deberjo01,1920,1,SLA,AL,10,18,1,3,1,0,0,0,0,0,1,4,,0,2,,
devinha01,1920,1,BOS,AL,1,2,1,2,0,1,0,0,0,0,0,0,,0,0,,
devinmi01,1920,1,BOS,AL,8,12,1,2,0,0,0,0,1,0,1,2,,0,1,,
dillhpi01,1920,1,SLN,NL,76,224,26,59,8,3,0,13,2,1,13,7,,0,3,,
doakbi01,1920,1,SLN,NL,39,88,4,10,0,0,0,5,0,0,5,37,,0,8,,
douglph01,1920,1,NY1,NL,46,73,6,11,0,0,0,1,0,0,1,18,,0,2,,
doylela01,1920,1,NY1,NL,137,471,48,134,21,2,4,50,11,9,47,28,,2,10,,
duganjo01,1920,1,PHA,AL,123,491,65,158,40,5,3,60,5,8,19,51,,3,8,,
dugeyos01,1920,1,BSN,NL,5,0,2,0,0,0,0,0,0,0,0,0,,0,0,,
duncapa01,1920,1,CIN,NL,154,576,75,170,16,11,2,83,18,18,42,42,,7,27,,
dykesji01,1920,1,PHA,AL,142,546,81,140,25,4,8,35,6,9,55,73,,9,27,,
eayrsed01,1920,1,BSN,NL,87,244,31,80,5,2,1,24,4,3,30,18,,4,6,,
eckerch01,1920,1,PHA,AL,2,1,0,0,0,0,0,0,0,0,0,0,,0,0,,
ehmkeho01,1920,1,DET,AL,38,105,4,25,7,2,0,5,0,0,0,10,,0,2,,
eibelha01,1920,1,BOS,AL,29,43,4,8,2,0,0,6,1,1,3,6,,0,1,,
ellerfr01,1920,1,WS1,AL,101,336,38,98,14,2,0,36,5,4,19,23,,1,20,,
ellerho01,1920,1,CIN,NL,38,87,7,22,2,0,0,12,1,1,1,16,,0,2,,
ellioro01,1920,1,BRO,NL,41,112,13,27,4,0,1,13,0,0,3,6,,1,4,,
ellisba01,1920,1,DET,AL,61,155,11,34,7,2,0,21,4,1,8,26,,0,8,,
ellisge01,1920,1,CLE,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
engeljo01,1920,1,WS1,AL,2,1,0,0,0,0,0,0,0,0,0,0,,0,0,,
enzmajo01,1920,1,PHI,NL,17,24,5,4,1,1,0,4,0,0,4,8,,0,0,,
ericker01,1920,1,WS1,AL,39,83,7,23,4,0,1,13,0,0,3,22,,0,8,,
evansjo01,1920,1,CLE,AL,56,172,32,60,9,9,0,23,6,2,15,3,,1,1,,
faberre01,1920,1,CHA,AL,40,104,10,11,1,0,0,1,1,0,19,39,,0,6,,
faethto01,1920,1,CLE,AL,13,5,1,0,0,0,0,0,0,0,1,1,,0,0,,
falkbi01,1920,1,CHA,AL,7,17,1,5,1,1,0,2,0,0,0,5,,0,2,,
felscha01,1920,1,CHA,AL,142,556,88,188,40,15,14,115,8,13,37,25,,4,16,,
fewstch01,1920,1,NYA,AL,21,21,8,6,1,0,0,1,0,1,7,2,,0,1,,
fillida01,1920,1,BSN,NL,38,92,1,16,1,0,0,6,0,0,6,13,,1,1,,
fishecl01,1920,1,WS1,AL,2,1,0,0,0,0,0,0,0,0,0,0,,0,0,,
fishera01,1920,1,CIN,NL,33,70,5,17,1,0,0,3,1,0,1,9,,1,3,,
flackma01,1920,1,CHN,NL,135,520,85,157,30,6,4,49,13,19,52,15,,7,13,,
flagsir01,1920,1,DET,AL,110,311,40,73,13,5,3,35,3,4,37,27,,1,10,,
fletcar01,1920,1,NY1,NL,41,171,21,44,7,2,0,24,3,2,1,15,,5,6,,
fletcar01,1920,2,PHI,NL,102,379,36,112,25,7,4,38,4,6,15,28,,4,13,,
fordho01,1920,1,BSN,NL,88,257,16,62,12,5,1,30,3,3,18,25,,2,10,,
fortuga01,1920,1,BOS,AL,14,12,0,2,0,0,0,1,0,0,1,5,,0,0,,
fosteed02,1920,1,BOS,AL,117,386,48,100,17,6,0,41,10,4,42,17,,3,11,,
fournja01,1920,1,SLN,NL,141,530,77,162,33,14,3,61,26,20,42,42,,12,24,,
frencra01,1920,1,NYA,AL,2,2,2,0,0,0,0,1,0,0,0,1,,0,0,,
fribebe01,1920,1,CHN,NL,50,114,11,24,5,1,0,7,2,2,6,20,,0,4,,
friedcy01,1920,1,DET,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
friscfr01,1920,1,NY1,NL,110,440,57,123,10,10,4,77,34,11,20,18,,0,13,,
gallibe01,1920,1,SLA,AL,2,1,0,0,0,0,0,0,0,0,0,0,,0,0,,
gallibe01,1920,2,PHI,NL,19,23,1,4,0,0,0,3,0,0,1,6,,0,1,,
galloch01,1920,1,PHA,AL,98,298,28,60,9,3,0,18,2,2,22,22,,1,14,,
gardnla01,1920,1,CLE,AL,154,597,72,185,31,11,3,118,3,20,53,25,,1,32,,
gastoal01,1920,1,NY1,NL,4,10,2,1,0,0,0,1,0,0,1,2,,0,1,,
gawch01,1920,1,CHN,NL,6,4,1,1,0,0,0,0,0,0,0,1,,0,0,,
gedeojo01,1920,1,SLA,AL,153,606,95,177,33,6,0,61,1,3,55,36,,4,48,,
gerbewa01,1920,1,SLA,AL,154,584,70,163,26,2,2,60,4,13,58,32,,2,19,,
gharrpa01,1920,1,WS1,AL,131,428,51,105,18,3,3,44,6,5,37,52,,1,19,,
gilhage01,1920,1,SLN,NL,1,3,0,0,0,0,0,0,0,0,0,1,,0,0,,
glaisjo01,1920,1,DET,AL,8,3,0,0,0,0,0,0,0,0,1,0,,0,0,,
glaseno01,1920,1,DET,AL,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,,
glaznwh01,1920,1,PIT,NL,2,3,0,0,0,0,0,0,0,0,0,0,,0,0,,
gleasjo01,1920,1,WS1,AL,3,2,0,0,0,0,0,0,0,0,3,0,,0,0,,
gleicfr01,1920,1,NYA,AL,24,41,6,5,0,0,0,3,0,0,6,10,,0,1,,
glennbo01,1920,1,SLN,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gonzami01,1920,1,NY1,NL,11,13,1,3,0,0,0,0,1,0,3,1,,0,0,,
goodwma01,1920,1,SLN,NL,32,35,4,7,0,0,0,1,0,0,3,8,,0,3,,
gowdyha01,1920,1,BSN,NL,80,214,14,52,11,2,0,18,6,1,20,15,,2,5,,
graneja01,1920,1,CLE,AL,62,152,31,45,11,1,0,13,4,2,27,21,,3,9,,
griesti01,1920,1,SLN,NL,5,3,1,1,0,0,0,0,0,0,0,0,,0,0,,
griffiv01,1920,1,PHA,AL,129,467,46,111,15,1,0,20,3,3,17,49,,11,13,,
griffpu01,1920,1,NY1,NL,5,4,0,1,0,0,0,0,0,0,1,2,,0,0,,
griffto01,1920,1,BRO,NL,93,334,41,87,9,4,2,30,3,3,15,18,,0,14,,
grimebu01,1920,1,BRO,NL,43,111,9,34,8,3,0,16,2,2,8,21,,1,6,,
grimera01,1920,1,BOS,AL,1,4,1,1,0,0,0,0,0,0,1,0,,0,0,,
grimero01,1920,1,NY1,NL,26,57,5,9,1,0,0,3,1,1,3,8,,0,0,,
grimmch01,1920,1,PIT,NL,148,533,38,121,13,7,2,54,7,8,30,40,,4,14,,
grohhe01,1920,1,CIN,NL,145,550,86,164,28,12,0,49,16,19,60,29,,8,14,,
grubbto01,1920,1,NY1,NL,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,,
haeffbi01,1920,1,PIT,NL,54,175,8,34,4,1,0,14,1,1,8,14,,0,3,,
haineje01,1920,1,SLN,NL,48,108,6,19,5,0,1,2,0,0,3,26,,0,4,,
halesa01,1920,1,DET,AL,76,116,13,34,3,3,1,14,2,0,5,15,,0,3,,
hamilea01,1920,1,PIT,NL,39,67,4,10,0,0,0,2,0,0,5,18,,1,7,,
hannatr01,1920,1,NYA,AL,79,259,24,64,11,1,2,25,2,0,24,35,,1,8,,
harpeha01,1920,1,BOS,AL,27,50,3,6,1,0,0,1,0,1,5,20,,0,2,,
harribu01,1920,1,WS1,AL,136,506,76,152,26,6,1,68,16,17,41,36,,21,24,,
harrisl01,1920,1,PHA,AL,31,66,0,7,0,0,0,0,0,0,1,30,,0,3,,
hastybo01,1920,1,PHA,AL,19,24,2,6,1,0,0,2,0,0,1,4,,0,0,,
hearnbu01,1920,1,BSN,NL,11,14,0,2,0,0,0,0,0,0,0,6,,0,0,,
heathcl01,1920,1,SLN,NL,133,489,55,139,18,8,3,56,21,14,25,31,,1,16,,
heathsp01,1920,1,CHA,AL,4,3,0,0,0,0,0,0,0,0,0,0,,0,0,,
heilmha01,1920,1,DET,AL,145,543,66,168,28,5,9,89,3,7,39,32,,2,18,,
heimafr01,1920,1,PHA,AL,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,,
hendrcl01,1920,1,CHN,NL,34,83,10,15,3,0,0,6,2,0,3,11,,0,1,,
hendrti01,1920,1,BOS,AL,99,363,54,119,21,5,0,73,7,9,42,27,,2,13,,
herzobu01,1920,1,CHN,NL,91,305,39,59,9,2,0,19,8,9,20,21,,8,17,,
hevinjo01,1920,1,SLA,AL,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,,
highch01,1920,1,PHA,AL,17,65,7,20,2,1,1,6,0,2,3,6,,4,2,,
hilleho02,1920,1,BOS,AL,17,29,4,5,1,1,0,2,0,3,2,5,,0,2,,
hinchbi01,1920,1,PIT,NL,18,16,0,3,0,0,0,1,0,0,1,3,,1,0,,
hocked01,1920,1,SLN,NL,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,,
hodgesh01,1920,1,CHA,AL,4,6,0,0,0,0,0,0,0,0,0,3,,0,0,,
hofmafr01,1920,1,NYA,AL,15,24,3,7,0,0,0,1,0,0,1,2,,1,0,,
holkewa01,1920,1,BSN,NL,144,551,53,162,15,11,3,64,4,11,28,31,,1,23,,
hollabi01,1920,1,WS1,AL,3,4,0,1,0,0,0,1,1,0,1,2,,0,1,,
holloch01,1920,1,CHN,NL,80,301,53,96,17,2,0,22,20,14,41,15,,3,24,,
hoodwa01,1920,1,BRO,NL,7,14,4,2,1,0,0,1,2,0,4,4,,0,2,,
hoodwa01,1920,2,PIT,NL,2,1,1,0,0,0,0,0,1,0,1,0,,0,0,,
hoopeha01,1920,1,BOS,AL,139,536,91,167,30,17,7,53,16,18,88,27,,2,5,,
hornsro01,1920,1,SLN,NL,149,589,96,218,44,20,9,94,12,15,60,50,,3,8,,
hoytwa01,1920,1,BOS,AL,22,43,3,5,0,1,0,0,0,0,1,11,,0,2,,
hubbebi01,1920,1,NY1,NL,14,5,1,1,0,0,0,0,0,0,0,2,,0,0,,
hubbebi01,1920,2,PHI,NL,24,53,4,7,0,0,0,1,0,0,3,19,,0,2,,
hubercl01,1920,1,DET,AL,11,42,4,9,2,1,0,5,0,0,0,5,,0,0,,
huntehe01,1920,1,BOS,AL,4,12,2,1,0,0,0,0,0,0,1,1,,0,1,,
jacksjo01,1920,1,CHA,AL,146,570,105,218,42,20,12,121,9,12,56,14,,7,16,,
jacobba01,1920,1,SLA,AL,154,609,97,216,34,14,9,122,11,7,46,37,,2,16,,
jacobel01,1920,1,SLN,NL,23,26,2,5,1,0,0,2,0,0,1,7,,0,3,,
jaegejo01,1920,1,CHN,NL,2,1,0,0,0,0,0,0,0,0,0,1,,0,0,,
jamiech01,1920,1,CLE,AL,108,370,69,118,17,7,1,40,2,9,41,26,,1,13,,
janvrha01,1920,1,SLN,NL,87,270,33,74,8,4,1,28,5,6,17,19,,0,8,,
johnsdo01,1920,1,CLE,AL,147,535,68,156,24,10,2,71,13,7,28,32,,5,25,,
johnsed01,1920,1,WS1,AL,4,13,1,3,0,0,0,2,0,0,3,2,,0,1,,
johnsji01,1920,1,BRO,NL,155,635,87,185,17,12,1,52,19,15,43,23,,2,28,,
johnspa01,1920,1,PHA,AL,18,72,6,15,0,0,0,5,1,1,4,8,,0,1,,
johnswa01,1920,1,WS1,AL,33,64,6,17,1,3,1,7,0,0,3,10,,0,2,,
jonesbo01,1920,1,DET,AL,81,265,35,66,6,3,1,18,3,4,22,13,,1,11,,
jonesjo01,1920,1,BSN,NL,3,4,0,1,0,1,0,0,0,0,0,2,,0,0,,
jonespe01,1920,1,CHN,NL,4,2,0,0,0,0,0,0,0,0,0,2,,0,0,,
jonessa01,1920,1,BOS,AL,44,92,12,20,3,1,0,5,0,0,4,27,,2,5,,
jonnabu01,1920,1,CHA,AL,2,5,0,0,0,0,0,0,0,0,0,1,,0,0,,
jourdte01,1920,1,CHA,AL,48,150,16,36,5,2,0,8,3,2,17,17,,5,3,,
judgejo01,1920,1,WS1,AL,126,493,103,164,19,15,5,51,12,12,65,34,,5,13,,
karrbe01,1920,1,BOS,AL,57,75,8,21,5,0,1,15,0,0,6,18,,0,1,,
kauffbe01,1920,1,NY1,NL,55,157,31,43,12,3,3,26,3,7,25,14,,2,4,,
kearnte01,1920,1,PHA,AL,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,,
keefeda01,1920,1,PHA,AL,32,40,3,10,1,0,0,1,0,0,1,5,,0,1,,
keenaji02,1920,1,PHI,NL,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,,
kellybi03,1920,1,PHA,AL,9,13,0,3,1,0,0,0,0,0,0,2,,0,0,,
kellyge01,1920,1,NY1,NL,155,590,69,157,22,11,11,94,6,16,41,92,,6,14,,
kerrdi01,1920,1,CHA,AL,46,90,12,14,1,1,0,5,1,0,3,9,,1,4,,
kiefejo01,1920,1,CHA,AL,2,2,0,0,0,0,0,0,0,0,0,1,,0,0,,
kildupe01,1920,1,BRO,NL,141,478,62,130,26,8,0,58,2,9,58,43,,0,22,,
killebi01,1920,1,CHN,NL,62,191,16,42,7,1,0,16,2,2,8,5,,8,5,,
kimeha01,1920,1,SLN,NL,4,1,0,0,0,0,0,0,0,0,0,1,,0,0,,
kingle02,1920,1,NY1,NL,93,261,32,72,11,4,7,42,3,7,21,38,,2,7,,
kinnewa01,1920,1,PHA,AL,14,26,5,9,1,0,0,6,0,0,2,1,,0,0,,
kinsebo01,1920,1,NY1,NL,1,3,0,1,0,0,0,1,0,0,0,2,,0,0,,
kirchmi01,1920,1,SLN,NL,9,11,2,3,0,0,0,1,0,0,0,3,,0,0,,
knodemi01,1920,1,SLN,NL,42,65,11,15,1,1,0,12,0,1,5,6,,2,5,,
knowlbi01,1920,1,PHA,AL,1,2,0,0,0,0,0,0,0,0,0,0,,0,0,,
koneted01,1920,1,BRO,NL,131,497,62,153,22,12,5,63,3,2,33,18,,1,16,,
kopfla01,1920,1,CIN,NL,126,458,56,112,15,6,0,59,14,13,35,24,,5,16,,
krueger01,1920,1,BRO,NL,52,146,21,42,4,2,1,17,2,0,16,13,,0,0,,
lamarbi01,1920,1,BRO,NL,24,44,5,12,4,0,0,4,0,0,0,1,,0,0,,
lambly01,1920,1,SLA,AL,9,24,4,9,2,0,0,4,2,0,0,7,,0,3,,
lamotbo01,1920,1,WS1,AL,4,3,0,0,0,0,0,0,0,0,1,1,,0,0,,
